company;rank;rank_change;revenue;profit;num. of employees;sector;city;state;newcomer;ceo_founder;ceo_woman;profitable;prev_rank;CEO;Website;Ticker;Market Cap
Reliance Steel & Aluminum;261;82.0;14093.3;1413.0;13950.0;Materials;Los Angeles;CA;no;no;no;yes;343.0;James D. Hoffman;https://www.rsac.com;RS;11313.5
Jacobs Engineering Group;262;-37.0;14092.6;477.0;53500.0;Engineering & Construction;Dallas;TX;no;no;no;yes;225.0;Steven J. Demetriou;https://www.jacobs.com;J;17807.4
Corning;263;14.0;14082.0;1906.0;61200.0;Industrials;Corning;NY;no;no;no;yes;277.0;Wendell P. Weeks;https://www.corning.com;GLW;31212.8
Farmers Insurance Exchange;264;-8.0;14055.0;-366.8;11787.0;Financials;Woodland Hills;CA;no;no;no;no;256.0;Jeffrey J. Dailey;https://www.farmers.com;;
Qurate Retail;265;-49.0;14044.0;340.0;26745.0;Retailing;Englewood;CO;no;no;no;yes;216.0;David L. Rawlinson II;https://www.qurateretail.com;QRTEA;1807.4
Pacific Life;266;37.0;13936.0;1102.0;3861.0;Financials;Newport Beach;CA;no;no;no;yes;303.0;Darryl Button;https://www.pacificlife.com;;
PulteGroup;267;17.0;13926.9;1946.3;6182.0;Engineering & Construction;Atlanta;GA;no;no;no;yes;284.0;Ryan R. Marshall;https://www.pultegroupinc.com;PHM;10115.7
Fidelity National Information Services;268;-27.0;13877.0;417.0;65000.0;Business Services;Jacksonville;FL;no;no;no;yes;241.0;Gary A. Norcross;https://www.fisglobal.com;FIS;61215.1
IQVIA Holdings;269;6.0;13874.0;966.0;79000.0;Health Care;Durham;NC;no;no;no;yes;275.0;Ari Bousbib;https://www.iqvia.com;IQV;44140.8
Marriott International;270;23.0;13857.0;1099.0;120000.0;Hotels, Restaurants & Leisure;Bethesda;MD;no;no;no;yes;293.0;Anthony G. Capuano;https://www.marriott.com;MAR;57514.9
Berry Global Group;271;-10.0;13850.0;733.0;47000.0;Materials;Evansville;IN;no;no;no;yes;261.0;Thomas E. Salmon;https://www.berryglobal.com;BERY;7832.4
Ball;272;-12.0;13811.0;878.0;24300.0;Materials;Westminster;CO;no;no;no;yes;260.0;Daniel W. Fisher;https://www.ball.com;BLL;28909.1
Group 1 Automotive;273;13.0;13801.7;552.1;13711.0;Retailing;Houston;TX;no;no;no;yes;286.0;Earl J. Hesterberg;https://www.group1auto.com;GPI;2859.9
Leidos Holdings;274;-26.0;13737.0;753.0;43000.0;Technology;Reston;VA;no;no;no;yes;248.0;Roger A. Krone;https://www.leidos.com;LDOS;14727.7
Wayfair;275;-58.0;13708.0;-131.0;16681.0;Retailing;Boston;MA;no;yes;no;no;217.0;Niraj S. Shah;https://www.wayfair.com;W;11641.6
Consolidated Edison;276;-27.0;13676.0;1346.0;13871.0;Energy;New York;NY;no;no;no;yes;249.0;Timothy P. Cawley;https://www.conedison.com;ED;33525.3
Ameriprise Financial;277;-24.0;13443.0;2760.0;12000.0;Financials;Minneapolis;MN;no;no;no;yes;253.0;James M. Cracchiolo;https://www.ameriprise.com;AMP;33213
Xcel Energy;278;-6.0;13431.0;1597.0;11321.0;Energy;Minneapolis;MN;no;no;no;yes;272.0;Robert C. Frenzel;https://www.xcelenergy.com;XEL;39275.9
O'Reilly Automotive;279;-11.0;13327.6;2164.7;76158.0;Retailing;Springfield;MO;no;no;no;yes;268.0;Gregory D. Johnson;https://www.oreillyauto.com;ORLY;45410.4
Global Partners;280;81.0;13248.3;60.8;2960.0;Wholesalers;Waltham;MA;no;no;no;yes;361.0;Eric Slifka;https://www.globalp.com;GLP;927.1
Discover Financial Services;281;-48.0;13221.0;5449.0;16700.0;Financials;Riverwoods;IL;no;no;no;yes;233.0;Roger C. Hochschild;https://www.discover.com;DFS;31076.7
Rocket Companies;282;-88.0;13175.6;308.2;26000.0;Financials;Detroit;MI;no;no;no;yes;194.0;Jay D. Farner;https://www.rocketcompanies.com;RKT;21905.9
LKQ;283;-17.0;13088.5;1090.9;46000.0;Wholesalers;Chicago;IL;no;no;no;yes;266.0;Dominick P. Zarcone;https://www.lkqcorp.com;LKQ;12941.4
W.W. Grainger;284;-26.0;13022.0;1043.0;23450.0;Wholesalers;Lake Forest;IL;no;no;no;yes;258.0;D.G. Macpherson;https://www.grainger.com;GWW;26358
Quanta Services;285;-7.0;12980.2;486.0;43700.0;Engineering & Construction;Houston;TX;no;no;no;yes;278.0;Earl C. Austin Jr.;https://www.quantaservices.com;PWR;18779.5
Crown Holdings;286;-17.0;12979.0;-560.0;26000.0;Materials;Yardley;PA;no;no;no;no;269.0;Timothy J. Donahue;https://www.crowncork.com;CCK;15460.6
Fox;287;-40.0;12909.0;2150.0;9000.0;Media;New York;NY;no;no;no;yes;247.0;Lachlan K. Murdoch;https://www.foxcorporation.com;FOXA;21423.2
Sempra;288;-33.0;12857.0;1317.0;15390.0;Energy;San Diego;CA;no;no;no;yes;255.0;Jeffrey W. Martin;https://www.sempra.com;SRE;53087.6
Markel;289;22.0;12846.4;2425.0;20300.0;Financials;Glen Allen;VA;no;no;no;yes;311.0;Thomas S. Gayner/Richard R. Whitt III;https://www.markel.com;MKL;20037.5
Carvana;290;193.0;12814.0;-135.0;21000.0;Retailing;Tempe;AZ;no;yes;no;no;483.0;Ernest C. Garcia III;https://www.carvana.com;CVNA;19549.5
XPO Logistics;291;-101.0;12806.0;336.0;44700.0;Transportation;Greenwich;CT;no;no;no;yes;190.0;Brad Jacobs;https://www.xpo.com;XPO;8356.9
Baxter International;292;-28.0;12784.0;1284.0;60000.0;Health Care;Deerfield;IL;no;no;no;yes;264.0;José E. Almeida;https://www.baxter.com;BAX;39017.9
Ecolab;293;-56.0;12733.1;1129.9;47000.0;Chemicals;St. Paul;MN;no;no;no;yes;237.0;Christophe Beck;https://www.ecolab.com;ECL;50548.4
Tractor Supply;294;-3.0;12731.1;997.1;34000.0;Retailing;Brentwood;TN;no;no;no;yes;291.0;Harry A. Lawton III;https://www.tractorsupply.com;TSCO;26171.6
Andersons;295;71.0;12728.8;104.0;2334.0;Food, Beverages & Tobacco;Maumee;OH;no;no;no;yes;366.0;Patrick Bowe;https://andersonsinc.com;ANDE;1151
Keurig Dr Pepper;296;-29.0;12683.0;2146.0;27500.0;Food, Beverages & Tobacco;Burlington;MA;no;no;no;yes;267.0;Ozan Dokmecioglu;https://www.keurigdrpepper.com;KDP;53748.2
Universal Health Services;297;-27.0;12642.1;991.6;78850.0;Health Care;King of Prussia;PA;no;no;no;yes;270.0;Marc D. Miller;https://www.uhsinc.com;UHS;10843.1
